,companycode,companyname,ratio,value,shares,code,name,stock_start,stock_end,fund_start,fund_end,DCid,hold_start,hold_end,hold_days,close_max,close_min
165,600298,安琪酵母,3.32,12591000.0,357700.00000000006,005409,华泰柏瑞新兴产业混合,2020-03-31,2020-07-06,2020-03-26,2020-07-06,30201905,2020-03-31,2020-07-06,97,34.8514,25.0396
166,603708,家家悦,3.27,12406800.0,384099.99999999994,005409,华泰柏瑞新兴产业混合,2020-03-31,2020-07-06,2020-03-26,2020-07-06,30201905,2020-03-31,2020-07-06,97,31.8664,21.9908
167,603939,益丰药房,3.26,12370200.0,132900.0,005409,华泰柏瑞新兴产业混合,2020-03-31,2020-07-06,2020-03-26,2020-07-06,30201905,2020-03-31,2020-07-06,97,66.2883,50.5529
168,600763,通策医疗,3.25,12304200.0,114200.0,005409,华泰柏瑞新兴产业混合,2020-03-31,2020-07-06,2020-03-26,2020-07-06,30201905,2020-03-31,2020-07-06,97,113.34,91.48
169,002032,苏泊尔,3.21,12185100.0,176300.0,005409,华泰柏瑞新兴产业混合,2020-03-31,2020-07-06,2020-03-26,2020-07-06,30201905,2020-03-31,2020-07-06,97,76.3976,61.7438
170,300498,温氏股份,3.21,12182500.0,377200.0,005409,华泰柏瑞新兴产业混合,2020-03-31,2020-07-06,2020-03-26,2020-07-06,30201905,2020-03-31,2020-07-06,97,30.7038,23.6078
171,002007,华兰生物,3.19,12099300.0,252500.0,005409,华泰柏瑞新兴产业混合,2020-03-31,2020-07-06,2020-03-26,2020-07-06,30201905,2020-03-31,2020-07-06,97,36.6211,24.5361
172,600161,天坛生物,3.19,12087100.0,332200.0,005409,华泰柏瑞新兴产业混合,2020-03-31,2020-07-06,2020-03-26,2020-07-06,30201905,2020-03-31,2020-07-06,97,39.37,27.12
173,603127,昭衍新药,3.17,12027600.0,165900.0,005409,华泰柏瑞新兴产业混合,2020-03-31,2020-07-06,2020-03-26,2020-07-06,30201905,2020-03-31,2020-07-06,97,56.0291,40.9621
174,603233,大参林,3.15,11952000.0,189700.0,005409,华泰柏瑞新兴产业混合,2020-03-31,2020-07-06,2020-03-26,2020-07-06,30201905,2020-03-31,2020-07-06,97,52.1465,42.1393
1006,600519,贵州茅台,7.77,14309700.0,12900.0,000967,华泰柏瑞创新动力混合,2020-03-31,2020-07-06,2018-03-14,2020-07-06,30201905,2020-03-31,2020-07-06,97,1157.48,984.503
1007,600436,片仔癀,7.65,14075400.0,113200.0,000967,华泰柏瑞创新动力混合,2020-03-31,2020-07-06,2018-03-14,2020-07-06,30201905,2020-03-31,2020-07-06,97,135.105,108.108
1008,600276,恒瑞医药,6.1,11237000.0,122100.00000000001,000967,华泰柏瑞创新动力混合,2020-03-31,2020-07-06,2018-03-14,2020-07-06,30201905,2020-03-31,2020-07-06,97,77.2825,65.6768
1009,000001,平安银行,5.99,11036199.999999998,862200.0,000967,华泰柏瑞创新动力混合,2020-03-31,2020-07-06,2018-03-14,2020-07-06,30201905,2020-03-31,2020-07-06,97,16.8893,11.9444
1010,300601,康泰生物,5.05,9294100.0,81100.0,000967,华泰柏瑞创新动力混合,2020-03-31,2020-07-06,2018-03-14,2020-07-06,30201905,2020-03-31,2020-07-06,97,120.5,80.3
1011,600585,海螺水泥,5.0,9195700.0,166900.0,000967,华泰柏瑞创新动力混合,2020-03-31,2020-07-06,2018-03-14,2020-07-06,30201905,2020-03-31,2020-07-06,97,58.158,43.2304
1012,000002,万科A,4.58,8432700.0,328800.0,000967,华泰柏瑞创新动力混合,2020-03-31,2020-07-06,2018-03-14,2020-07-06,30201905,2020-03-31,2020-07-06,97,32.56,24.55
1013,300433,蓝思科技,3.98,7321900.000000001,502900.0,000967,华泰柏瑞创新动力混合,2020-03-31,2020-07-06,2018-03-14,2020-07-06,30201905,2020-03-31,2020-07-06,97,22.4004,14.0188
1014,603882,金域医学,3.95,7272700.0,129200.0,000967,华泰柏瑞创新动力混合,2020-03-31,2020-07-06,2018-03-14,2020-07-06,30201905,2020-03-31,2020-07-06,97,61.8531,48.544
1015,002555,三七互娱,3.69,6794000.0,208000.0,000967,华泰柏瑞创新动力混合,2020-03-31,2020-07-06,2018-03-14,2020-07-06,30201905,2020-03-31,2020-07-06,97,38.9398,28.2549
1017,600519,贵州茅台,7.78,131282400.0,118200.0,007968,华泰柏瑞研究精选,2020-03-31,2020-07-06,2019-11-19,2020-07-06,30201905,2020-03-31,2020-07-06,97,1157.48,984.503
1018,600436,片仔癀,7.72,130171900.0,1047200.0,007968,华泰柏瑞研究精选,2020-03-31,2020-07-06,2019-11-19,2020-07-06,30201905,2020-03-31,2020-07-06,97,135.105,108.108
